"","Country.Region","X3.9.23"
"1","Afghanistan",209451
"2","Albania",334457
"3","Algeria",271496
"4","Andorra",47890
"5","Angola",105288
"6","Antarctica",11
"7","Antigua and Barbuda",9106
"8","Argentina",10044957
"9","Armenia",447308
"10","Australia",232974
"11","Australia",3915992
"12","Australia",105111
"13","Australia",1800236
"14","Australia",883620
"15","Australia",287507
"16","Australia",2880559
"17","Australia",1293461
"18","Austria",5961143
"19","Azerbaijan",828825
"20","Bahamas",37491
"21","Bahrain",710693
"22","Bangladesh",2037871
"23","Barbados",106798
"24","Belarus",994037
"25","Belgium",4739365
"26","Belize",70757
"27","Benin",27999
"28","Bhutan",62627
"29","Bolivia",1194277
"30","Bosnia and Herzegovina",401729
"31","Botswana",329758
"32","Brazil",37076053
"33","Brunei",279661
"34","Bulgaria",1297523
"35","Burkina Faso",22056
"36","Burma",633950
"37","Burundi",53631
"38","Cabo Verde",63244
"39","Cambodia",138719
"40","Cameroon",124392
"41","Canada",629269
"42","Canada",396817
"43","Canada",0
"44","Canada",13
"45","Canada",154712
"46","Canada",88866
"47","Canada",54757
"48","Canada",11511
"49","Canada",140793
"50","Canada",3531
"51","Canada",1601325
"52","Canada",56523
"53","Canada",1320325
"54","Canada",13
"55","Canada",153651
"56","Canada",4989
"57","Central African Republic",15368
"58","Chad",7679
"59","Chile",5192286
"60","China",2275
"61","China",40774
"62","China",14715
"63","China",17122
"64","China",1742
"65","China",103248
"66","China",13371
"67","China",2534
"68","China",10483
"69","China",3292
"70","China",6603
"71","China",9948
"72","China",2876106
"73","China",72131
"74","China",7437
"75","China",8847
"76","China",5075
"77","China",3423
"78","China",40764
"79","China",3547
"80","China",3514
"81","China",1276
"82","China",782
"83","China",7326
"84","China",5880
"85","China",67040
"86","China",7167
"87","China",14567
"88","China",4392
"89","China",1647
"90","China",1521816
"91","China",3089
"92","China",9743
"93","China",11848
"94","Colombia",6359093
"95","Comoros",9008
"96","Congo (Brazzaville)",25087
"97","Congo (Kinshasa)",95749
"98","Costa Rica",1209725
"99","Cote d'Ivoire",88263
"100","Croatia",1269326
"101","Cuba",1112643
"102","Cyprus",650685
"103","Czechia",4618256
"104","Denmark",34658
"105","Denmark",11971
"106","Denmark",3404407
"107","Diamond Princess",712
"108","Djibouti",15690
"109","Dominica",15760
"110","Dominican Republic",660790
"111","Ecuador",1057121
"112","Egypt",515759
"113","El Salvador",201785
"114","Equatorial Guinea",17229
"115","Eritrea",10189
"116","Estonia",615433
"117","Eswatini",74267
"118","Ethiopia",500116
"119","Fiji",68898
"120","Finland",1463644
"121","France",98041
"122","France",78055
"123","France",201886
"124","France",229020
"125","France",42004
"126","France",80017
"127","France",494595
"128","France",5441
"129","France",3452
"130","France",12271
"131","France",3427
"132","France",38618509
"133","Gabon",48981
"134","Gambia",12598
"135","Georgia",1827537
"136","Germany",38249060
"137","Ghana",171229
"138","Greece",5548487
"139","Grenada",19680
"140","Guatemala",1238247
"141","Guinea",38267
"142","Guinea-Bissau",8960
"143","Guyana",73075
"144","Haiti",34202
"145","Holy See",29
"146","Honduras",472250
"147","Hungary",2196804
"148","Iceland",209137
"149","India",44690738
"150","Indonesia",6738225
"151","Iran",7572311
"152","Iraq",2465545
"153","Ireland",1704502
"154","Israel",4803824
"155","Italy",25603510
"156","Jamaica",154416
"157","Japan",33320438
"158","Jordan",1746997
"159","Kazakhstan",1498668
"160","Kenya",342937
"161","Kiribati",5014
"162","Korea, North",1
"163","Korea, South",30615522
"164","Kosovo",273312
"165","Kuwait",663860
"166","Kyrgyzstan",206708
"167","Laos",218023
"168","Latvia",976255
"169","Lebanon",1232828
"170","Lesotho",34790
"171","Liberia",8090
"172","Libya",507187
"173","Liechtenstein",21432
"174","Lithuania",1307448
"175","Luxembourg",317367
"176","MS Zaandam",9
"177","Madagascar",67889
"178","Malawi",88707
"179","Malaysia",5044718
"180","Maldives",185738
"181","Mali",33062
"182","Malta",117610
"183","Marshall Islands",15649
"184","Mauritania",63668
"185","Mauritius",296042
"186","Mexico",7483444
"187","Micronesia",23948
"188","Moldova",611140
"189","Monaco",16121
"190","Mongolia",1007900
"191","Montenegro",288808
"192","Morocco",1272490
"193","Mozambique",233214
"194","Namibia",171156
"195","Nauru",5247
"196","Nepal",1001154
"197","Netherlands",44044
"198","Netherlands",11804
"199","Netherlands",45986
"200","Netherlands",11020
"201","Netherlands",8599981
"202","New Zealand",7031
"203","New Zealand",792
"204","New Zealand",2228291
"205","Nicaragua",15655
"206","Niger",9508
"207","Nigeria",266598
"208","North Macedonia",346852
"209","Norway",1479506
"210","Oman",399449
"211","Pakistan",1577411
"212","Palau",5991
"213","Panama",1031731
"214","Papua New Guinea",46825
"215","Paraguay",808401
"216","Peru",4487553
"217","Philippines",4077452
"218","Poland",6444960
"219","Portugal",5570473
"220","Qatar",495090
"221","Romania",3346046
"222","Russia",22075858
"223","Rwanda",133194
"224","Saint Kitts and Nevis",6597
"225","Saint Lucia",30004
"226","Saint Vincent and the Grenadines",9589
"227","Samoa",16607
"228","San Marino",23616
"229","Sao Tome and Principe",6281
"230","Saudi Arabia",830127
"231","Senegal",88926
"232","Serbia",2500142
"233","Seychelles",50665
"234","Sierra Leone",7760
"235","Singapore",2235294
"236","Slovakia",2667551
"237","Slovenia",1331707
"238","Solomon Islands",24575
"239","Somalia",27324
"240","South Africa",4067067
"241","South Sudan",18368
"242","Spain",13770429
"243","Sri Lanka",672039
"244","Sudan",63829
"245","Summer Olympics 2020",865
"246","Suriname",82467
"247","Sweden",2699339
"248","Switzerland",4413911
"249","Syria",57467
"250","Taiwan*",9970937
"251","Tajikistan",17786
"252","Tanzania",42906
"253","Thailand",4728182
"254","Timor-Leste",23419
"255","Togo",39396
"256","Tonga",16810
"257","Trinidad and Tobago",189918
"258","Tunisia",1151126
"259","Turkey",17042722
"260","Tuvalu",2805
"261","US",103802702
"262","Uganda",170544
"263","Ukraine",5711929
"264","United Arab Emirates",1053213
"265","United Kingdom",3904
"266","United Kingdom",18828
"267","United Kingdom",7305
"268","United Kingdom",31472
"269","United Kingdom",0
"270","United Kingdom",1930
"271","United Kingdom",20433
"272","United Kingdom",34991
"273","United Kingdom",38008
"274","United Kingdom",66391
"275","United Kingdom",1403
"276","United Kingdom",4
"277","United Kingdom",2166
"278","United Kingdom",6561
"279","United Kingdom",24425309
"280","Uruguay",1034303
"281","Uzbekistan",251247
"282","Vanuatu",12014
"283","Venezuela",552162
"284","Vietnam",11526994
"285","West Bank and Gaza",703228
"286","Winter Olympics 2022",535
"287","Yemen",11945
"288","Zambia",343135
"289","Zimbabwe",264276
