"V1"	"V2"	"V3"
"SI"	6000	"Koper/Capodistria - dostava"
"SI"	6001	"Koper/Capodistria - poštni predali"
"SI"	6210	"Sežana"
"SI"	6215	"Divača"
"SI"	6216	"Podgorje"
"SI"	6217	"Vremski Britof"
"SI"	6219	"Lokev"
"SI"	6221	"Dutovlje"
"SI"	6222	"Štanjel"
"SI"	6223	"Komen"
"SI"	6224	"Senožeče"
"SI"	6225	"Hruševje"
"SI"	6230	"Postojna"
"SI"	6232	"Planina"
"SI"	6240	"Kozina"
"SI"	6242	"Materija"
"SI"	6243	"Obrov"
"SI"	6244	"Podgrad"
"SI"	6250	"Ilirska Bistrica"
"SI"	6251	"Ilirska Bistrica-Trnovo"
"SI"	6253	"Knežak"
"SI"	6254	"Jelšane"
"SI"	6255	"Prem"
"SI"	6256	"Košana"
"SI"	6257	"Pivka"
"SI"	6258	"Prestranek"
"SI"	6271	"Dekani"
"SI"	6272	"Gračišče"
"SI"	6273	"Marezige"
"SI"	6274	"Šmarje"
"SI"	6275	"Črni Kal"
"SI"	6276	"Pobegi"
"SI"	6280	"Ankaran/Ancarano"
"SI"	6281	"Škofije"
"SI"	6310	"Izola/Isola"
"SI"	6320	"Portorož/Portorose"
"SI"	6323	"Strunjan/Strugnano (sezonska pošta)"
"SI"	6330	"Piran/Pirano"
"SI"	6333	"Sečovlje/Sicciole"
"SI"	6501	"Koper"
"SI"	6502	"Koper"
"SI"	6503	"Koper"
"SI"	6504	"Koper"
"SI"	6505	"Koper"
"SI"	6600	"Koper"
